qid,question,answer,qid,question,answer,concepts,numbers,units,relations
33,"found in trachea-
i. pseudo stractified epithelial tissue
ii. ciliated epithelial tissue
iii. cuboidal epithelial tissue
which one is correct?","i, ii and iii",33,"found in trachea-
i. pseudo stractified epithelial tissue
ii. ciliated epithelial tissue
iii. cuboidal epithelial tissue
which one is correct?","i, ii and iii","['ii', 'iii', 'epithelial', '.', 'i.', 'pseudo', 'correct', 'tissue', 'cuboidal', 'cuboidal epithelial tissue', 'ciliate', 'stractifie', 'find', 'trachea-']",['one'],[],[]
34,how many molecules of pyruvic acid are produced from two molecules of glucose in glycolysis process?,1,34,how many molecules of pyruvic acid are produced from two molecules of glucose in glycolysis process?,1,"['acid', 'process', 'molecule', 'pyruvic', 'glucose', 'produce', 'glycolysis']","['1', 'two']",['m'],[]
34,how many molecules of pyruvic acid are produced from two molecules of glucose in glycolysis process?,2,34,how many molecules of pyruvic acid are produced from two molecules of glucose in glycolysis process?,2,"['acid', 'process', 'molecule', 'pyruvic', 'glucose', 'produce', 'glycolysis']","['2', 'two']",['m'],[]
34,how many molecules of pyruvic acid are produced from two molecules of glucose in glycolysis process?,3,34,how many molecules of pyruvic acid are produced from two molecules of glucose in glycolysis process?,3,"['acid', 'process', 'molecule', 'pyruvic', 'glucose', 'produce', 'glycolysis']","['3', 'two']",['m'],[]
34,how many molecules of pyruvic acid are produced from two molecules of glucose in glycolysis process?,4,34,how many molecules of pyruvic acid are produced from two molecules of glucose in glycolysis process?,4,"['acid', 'process', 'molecule', 'pyruvic', 'glucose', 'produce', 'glycolysis']","['4', 'two']",['m'],[]
35,which one is the optimum temperature for respiration?,20\degree c  - 30\degree c,35,which one is the optimum temperature for respiration?,20\degree c  - 30\degree c,"['respiration', 'temperature', 'optimum', 'c']","['one', '20\\degree']","['m', 'deg']",[]
35,which one is the optimum temperature for respiration?,20\degree c - 35\degree c,35,which one is the optimum temperature for respiration?,20\degree c - 35\degree c,"['respiration', 'temperature', 'optimum', 'c']","['one', '20\\degree']","['m', 'deg']",[]
35,which one is the optimum temperature for respiration?,20\degree c - 45\degree c,35,which one is the optimum temperature for respiration?,20\degree c - 45\degree c,"['respiration', 'temperature', 'optimum', 'c']","['one', '20\\degree']","['m', 'deg']",[]
35,which one is the optimum temperature for respiration?,20\degree c - 46\degree c,35,which one is the optimum temperature for respiration?,20\degree c - 46\degree c,"['respiration', 'temperature', 'optimum', 'c']","['one', '20\\degree']","['m', 'deg']",[]
36,in which year watson and crick discovered double helix modl of dna?,1949,36,in which year watson and crick discovered double helix modl of dna?,1949,"['dna', 'crick', 'double', 'watson', 'year', 'helix', 'modl', 'discover']",['1949'],['m'],[]
36,in which year watson and crick discovered double helix modl of dna?,1951,36,in which year watson and crick discovered double helix modl of dna?,1951,"['dna', 'crick', 'double', 'watson', 'year', 'helix', 'modl', 'discover']",['1951'],['m'],[]
36,in which year watson and crick discovered double helix modl of dna?,1952,36,in which year watson and crick discovered double helix modl of dna?,1952,"['dna', 'crick', 'double', 'watson', 'year', 'helix', 'modl', 'discover']",['1952'],['m'],[]
36,in which year watson and crick discovered double helix modl of dna?,1953,36,in which year watson and crick discovered double helix modl of dna?,1953,"['dna', 'crick', 'double', 'watson', 'year', 'helix', 'modl', 'discover']",['1953'],['m'],[]
37,which one of the following flowers has monadelphous filament?,china-rose,37,which one of the following flowers has monadelphous filament?,china-rose,"['flower', 'rise', 'china', 'follow', 'monadelphous', 'filament']",['one'],['m'],[]
37,which one of the following flowers has monadelphous filament?,pea,37,which one of the following flowers has monadelphous filament?,pea,"['flower', 'follow', 'pea', 'filament', 'monadelphous']",['one'],['m'],[]
37,which one of the following flowers has monadelphous filament?,cotton tree,37,which one of the following flowers has monadelphous filament?,cotton tree,"['flower', 'tree', 'cotton', 'follow', 'monadelphous', 'filament']",['one'],['m'],[]
37,which one of the following flowers has monadelphous filament?,datura,37,which one of the following flowers has monadelphous filament?,datura,"['flower', 'datura', 'follow', 'monadelphous', 'filament']",['one'],['m'],[]
38,who is the father of genetics?,darwin,38,who is the father of genetics?,darwin,"['father', 'darwin', 'genetic']",[],[],[]
38,who is the father of genetics?,mendel,38,who is the father of genetics?,mendel,"['father', 'genetic', 'mendel']",[],['m'],[]
38,who is the father of genetics?,watson,38,who is the father of genetics?,watson,"['father', 'watson', 'genetic']",[],[],[]
38,who is the father of genetics?,linneus,38,who is the father of genetics?,linneus,"['father', 'linneus', 'genetic']",[],[],[]
39,in which animal internal fertilization occurs?,rui,39,in which animal internal fertilization occurs?,rui,"['internal', 'rui', 'occur', 'fertilization', 'animal']",[],['m'],[]
39,in which animal internal fertilization occurs?,shark,39,in which animal internal fertilization occurs?,shark,"['internal', 'occur', 'fertilization', 'shark', 'animal']",[],['m'],[]
39,in which animal internal fertilization occurs?,mrigal,39,in which animal internal fertilization occurs?,mrigal,"['internal', 'occur', 'mrigal', 'fertilization', 'animal']",[],['m'],[]
39,in which animal internal fertilization occurs?,nilotica,39,in which animal internal fertilization occurs?,nilotica,"['internal', 'occur', 'fertilization', 'nilotica', 'animal']",[],['m'],[]
40,"how many types of epithelial tissues are there according to shape, location and function?",3,40,"how many types of epithelial tissues are there according to shape, location and function?",3,"['type', 'location', 'function', 'epithelial', 'tissue', 'shape', 'accord']",['3'],['m'],[]
40,"how many types of epithelial tissues are there according to shape, location and function?",4,40,"how many types of epithelial tissues are there according to shape, location and function?",4,"['type', 'location', 'function', 'epithelial', 'tissue', 'shape', 'accord']",['4'],['m'],[]
40,"how many types of epithelial tissues are there according to shape, location and function?",5,40,"how many types of epithelial tissues are there according to shape, location and function?",5,"['type', 'location', 'function', 'epithelial', 'tissue', 'shape', 'accord']",['5'],['m'],[]
40,"how many types of epithelial tissues are there according to shape, location and function?",6,40,"how many types of epithelial tissues are there according to shape, location and function?",6,"['type', 'location', 'function', 'epithelial', 'tissue', 'shape', 'accord']",['6'],['m'],[]
41,which one of the following is formula for pyruvic acid?,c_{3}h_{4}o_{3},41,which one of the following is formula for pyruvic acid?,c_{3}h_{4}o_{3},"['acid', 'formula', 'c_{3}h_{4}o_{3', 'pyruvic', 'following']",['one'],['m'],[]
41,which one of the following is formula for pyruvic acid?,c_{6}h_{12}o_{6},41,which one of the following is formula for pyruvic acid?,c_{6}h_{12}o_{6},"['acid', 'formula', 'pyruvic', 'following', 'c_{6}h_{12}o_{6']",['one'],['m'],[]
41,which one of the following is formula for pyruvic acid?,c_{2}h_{5}oh,41,which one of the following is formula for pyruvic acid?,c_{2}h_{5}oh,"['pyruvic', 'formula', 'acid', 'following']",['one'],['m'],[]
41,which one of the following is formula for pyruvic acid?,ch_{3}oh,41,which one of the following is formula for pyruvic acid?,ch_{3}oh,"['acid', 'formula', 'ch_{3}oh', 'pyruvic', 'following']",['one'],['m'],[]
42,which one is the external facor of photosynthesis?,water,42,which one is the external facor of photosynthesis?,water,"['photosynthesis', 'external', 'water', 'facor']",['one'],[],[]
42,which one is the external facor of photosynthesis?,chlorophyll,42,which one is the external facor of photosynthesis?,chlorophyll,"['chlorophyll', 'photosynthesis', 'external', 'facor']",['one'],[],[]
42,which one is the external facor of photosynthesis?,potassium,42,which one is the external facor of photosynthesis?,potassium,"['photosynthesis', 'external', 'facor', 'potassium']",['one'],['m'],[]
42,which one is the external facor of photosynthesis?,enzyme,42,which one is the external facor of photosynthesis?,enzyme,"['photosynthesis', 'external', 'enzyme', 'facor']",['one'],['m'],[]
43,which tissue is found in aquation plants that contain air-chamber?,selerenchyma,43,which tissue is found in aquation plants that contain air-chamber?,selerenchyma,"['aquation', 'chamber', 'selerenchyma', 'air', 'contain', 'find', 'tissue', 'plant']",[],['m'],[]
43,which tissue is found in aquation plants that contain air-chamber?,collenchyma,43,which tissue is found in aquation plants that contain air-chamber?,collenchyma,"['aquation', 'chamber', 'air', 'collenchyma', 'contain', 'find', 'tissue', 'plant']",[],['m'],[]
43,which tissue is found in aquation plants that contain air-chamber?,arenchyma,43,which tissue is found in aquation plants that contain air-chamber?,arenchyma,"['aquation', 'chamber', 'tissue', 'air', 'contain', 'find', 'arenchyma', 'plant']",[],['m'],[]
43,which tissue is found in aquation plants that contain air-chamber?,tracheid,43,which tissue is found in aquation plants that contain air-chamber?,tracheid,"['aquation', 'chamber', 'tracheid', 'air', 'contain', 'find', 'tissue', 'plant']",[],['m'],[]
44,by which part embryo is implanted with the uterus wall?,amnion,44,by which part embryo is implanted with the uterus wall?,amnion,"['uterus', 'embryo', 'amnion', 'wall', 'implant']",[],['m'],[]
44,by which part embryo is implanted with the uterus wall?,blood vessel,44,by which part embryo is implanted with the uterus wall?,blood vessel,"['uterus', 'embryo', 'vessel', 'wall', 'blood', 'implant']",[],['m'],[]
44,by which part embryo is implanted with the uterus wall?,umbilical cord,44,by which part embryo is implanted with the uterus wall?,umbilical cord,"['uterus', 'embryo', 'umbilical', 'cord', 'wall', 'implant']",[],['m'],[]
44,by which part embryo is implanted with the uterus wall?,placenta,44,by which part embryo is implanted with the uterus wall?,placenta,"['uterus', 'embryo', 'wall', 'placenta', 'implant']",[],['m'],[]
45,"in case of the formation of female gametophyte four haploid cells are produced from a reproductive mother cell. upper three cells are degenerated and the lower one is dividing.
which process is occured for the formation of four cells in above stem?",mitosis,45,"in case of the formation of female gametophyte four haploid cells are produced from a reproductive mother cell. upper three cells are degenerated and the lower one is dividing.
which process is occured for the formation of four cells in above stem?",mitosis,"['case', 'cell', 'process', 'upper', 'formation', 'low', 'mother', 'degenerate', 'mitosis', 'reproductive', 'female', 'haploid', 'produce', 'gametophyte', 'stem', 'occur', 'divide']","['one', 'four', 'three']",['m'],[]
45,"in case of the formation of female gametophyte four haploid cells are produced from a reproductive mother cell. upper three cells are degenerated and the lower one is dividing.
which process is occured for the formation of four cells in above stem?",meiosis,45,"in case of the formation of female gametophyte four haploid cells are produced from a reproductive mother cell. upper three cells are degenerated and the lower one is dividing.
which process is occured for the formation of four cells in above stem?",meiosis,"['case', 'cell', 'process', 'upper', 'formation', 'low', 'mother', 'degenerate', 'reproductive', 'female', 'haploid', 'produce', 'gametophyte', 'stem', 'occur', 'meiosis', 'divide']","['one', 'four', 'three']",['m'],[]
45,"in case of the formation of female gametophyte four haploid cells are produced from a reproductive mother cell. upper three cells are degenerated and the lower one is dividing.
which process is occured for the formation of four cells in above stem?",amitosis,45,"in case of the formation of female gametophyte four haploid cells are produced from a reproductive mother cell. upper three cells are degenerated and the lower one is dividing.
which process is occured for the formation of four cells in above stem?",amitosis,"['amitosis', 'case', 'cell', 'process', 'upper', 'formation', 'low', 'mother', 'degenerate', 'reproductive', 'female', 'haploid', 'produce', 'gametophyte', 'stem', 'occur', 'divide']","['one', 'four', 'three']",['m'],[]
45,"in case of the formation of female gametophyte four haploid cells are produced from a reproductive mother cell. upper three cells are degenerated and the lower one is dividing.
which process is occured for the formation of four cells in above stem?",binary fission,45,"in case of the formation of female gametophyte four haploid cells are produced from a reproductive mother cell. upper three cells are degenerated and the lower one is dividing.
which process is occured for the formation of four cells in above stem?",binary fission,"['case', 'cell', 'process', 'upper', 'formation', 'low', 'binary', 'mother', 'degenerate', 'fission', 'reproductive', 'female', 'haploid', 'produce', 'gametophyte', 'stem', 'occur', 'divide']","['one', 'four', 'three']",['m'],[]
46,"in case of the formation of female gametophyte four haploid cells are produced from a reproductive mother cell. upper three cells are degenerated and the lower one is dividing.
during the formation of gametophyte of stem-
i. forms antipodal cell
ii. forms secondary nucleus
iii. forms egg apparatus
which one is correct?",i and ii,46,"in case of the formation of female gametophyte four haploid cells are produced from a reproductive mother cell. upper three cells are degenerated and the lower one is dividing.
during the formation of gametophyte of stem-
i. forms antipodal cell
ii. forms secondary nucleus
iii. forms egg apparatus
which one is correct?",i and ii,"['ii', 'cell', 'case', 'antipodal', 'upper', '.', 'correct', 'egg', 'formation', 'low', 'mother', 'degenerate', 'nucleus', 'iii', 'secondary', 'reproductive', 'female', 'haploid', 'produce', 'i.', 'stem-', 'gametophyte', 'form', 'divide', 'apparatus']","['one', 'four', 'three']",['m'],[]
